S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
4873,Lagos,LUTH - Lagos University Teaching Hospital,Measles,43235,7738,June,2009,"Monday, June 1, 2009"
4874,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,8788,2407,March,2000,"Wednesday, March 1, 2000"
4875,Oyo,"UCH - University College Hospital, Ibadan",Measles,26427,5458,March,2014,"Saturday, March 1, 2014"
4876,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,77045,3971,March,2003,"Saturday, March 1, 2003"
4877,Edo,UBTH - University of Benin Teaching Hospital,Cholera,2940,1178,October,2020,"Thursday, October 1, 2020"
4878,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,72032,24330,August,2015,"Saturday, August 1, 2015"
4879,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,79846,23012,February,2013,"Friday, February 1, 2013"
4880,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,9476,2646,October,2001,"Monday, October 1, 2001"
4881,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,11812,446,November,2009,"Sunday, November 1, 2009"
4882,Lagos,LUTH - Lagos University Teaching Hospital,Measles,57110,16673,June,2003,"Sunday, June 1, 2003"
4883,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,23567,7848,November,2007,"Thursday, November 1, 2007"
4884,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,45741,14473,July,2006,"Saturday, July 1, 2006"
4885,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,50681,13263,May,2000,"Monday, May 1, 2000"
4886,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,55887,14628,March,2019,"Friday, March 1, 2019"
4887,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,54197,12972,March,2016,"Tuesday, March 1, 2016"
4888,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,44517,11752,December,2011,"Thursday, December 1, 2011"
4889,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,13322,2325,July,2018,"Sunday, July 1, 2018"
4890,Abia,FMC Umuahia - Federal Medical Centre,Measles,20469,1361,April,2010,"Thursday, April 1, 2010"
4891,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,31303,13621,March,2009,"Sunday, March 1, 2009"
4892,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,30124,6356,March,2000,"Wednesday, March 1, 2000"
4893,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,39419,14653,April,2005,"Friday, April 1, 2005"
4894,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,50960,20976,April,2004,"Thursday, April 1, 2004"
4895,Plateau,JUTH - Jos University Teaching Hospital,Cholera,62891,2366,June,2022,"Wednesday, June 1, 2022"
4896,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,13349,1252,January,2019,"Tuesday, January 1, 2019"
4897,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,24368,6119,September,2017,"Friday, September 1, 2017"
4898,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,65960,8399,October,2001,"Monday, October 1, 2001"
4899,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,40664,3199,October,2005,"Saturday, October 1, 2005"
4900,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,68061,28697,January,2016,"Friday, January 1, 2016"
4901,Abia,FMC Umuahia - Federal Medical Centre,Measles,45541,7931,April,2020,"Wednesday, April 1, 2020"
4902,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,1646,569,December,2003,"Monday, December 1, 2003"
4903,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,14875,379,August,2019,"Thursday, August 1, 2019"
4904,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,63687,30425,August,2016,"Monday, August 1, 2016"
4905,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,76374,16066,August,2017,"Tuesday, August 1, 2017"
4906,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,22500,1390,April,2013,"Monday, April 1, 2013"
4907,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,54428,23408,December,2016,"Thursday, December 1, 2016"
4908,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,34058,2418,January,2006,"Sunday, January 1, 2006"
4909,Kogi,FMC Lokoja - Federal Medical Centre,Measles,43624,20409,January,2018,"Monday, January 1, 2018"
4910,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,33234,2917,April,2009,"Wednesday, April 1, 2009"
4911,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,49316,3599,May,2022,"Sunday, May 1, 2022"
4912,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,6918,3084,May,2010,"Saturday, May 1, 2010"
4913,Plateau,JUTH - Jos University Teaching Hospital,Measles,63770,30300,August,2015,"Saturday, August 1, 2015"
4914,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,60599,17272,August,2016,"Monday, August 1, 2016"
4915,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,70788,27798,January,2010,"Friday, January 1, 2010"
4916,Oyo,"UCH - University College Hospital, Ibadan",Measles,23433,5213,June,2002,"Saturday, June 1, 2002"
4917,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,51902,11399,November,2008,"Saturday, November 1, 2008"
4918,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,9902,1352,April,2003,"Tuesday, April 1, 2003"
4919,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,31720,11355,May,2023,"Monday, May 1, 2023"
4920,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,22911,8117,August,2016,"Monday, August 1, 2016"
4921,Plateau,JUTH - Jos University Teaching Hospital,Measles,70377,11258,November,2012,"Thursday, November 1, 2012"
4922,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Lassa Fever,2368,392,January,2014,"Wednesday, January 1, 2014"
4923,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,49234,20807,September,2017,"Friday, September 1, 2017"
4924,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,31468,228,October,2024,"Tuesday, October 1, 2024"
4925,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,60027,13393,January,2022,"Saturday, January 1, 2022"
4926,Abia,FMC Umuahia - Federal Medical Centre,Cholera,13196,4683,August,2021,"Sunday, August 1, 2021"
4927,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,3929,1900,February,2003,"Saturday, February 1, 2003"
4928,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,12399,1776,September,2001,"Saturday, September 1, 2001"
4929,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,4775,1412,July,2013,"Monday, July 1, 2013"
4930,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,69608,21279,January,2011,"Saturday, January 1, 2011"
4931,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,19637,5901,January,2022,"Saturday, January 1, 2022"
4932,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,45717,2310,April,2014,"Tuesday, April 1, 2014"
4933,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,70267,4051,June,2011,"Wednesday, June 1, 2011"
4934,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,61923,30319,February,2010,"Monday, February 1, 2010"
4935,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,79623,36274,November,2024,"Friday, November 1, 2024"
4936,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,49680,18996,December,2003,"Monday, December 1, 2003"
4937,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,15355,5989,February,2000,"Tuesday, February 1, 2000"
4938,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,36030,9424,July,2020,"Wednesday, July 1, 2020"
4939,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,23316,2839,October,2011,"Saturday, October 1, 2011"
4940,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,54868,25836,May,2013,"Wednesday, May 1, 2013"
4941,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,5139,274,November,2008,"Saturday, November 1, 2008"
4942,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,15221,154,September,2016,"Thursday, September 1, 2016"
4943,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,15414,5608,April,2007,"Sunday, April 1, 2007"
4944,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,33093,14866,June,2008,"Sunday, June 1, 2008"
4945,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,71280,18141,July,2015,"Wednesday, July 1, 2015"
4946,Edo,UBTH - University of Benin Teaching Hospital,Measles,4615,881,June,2008,"Sunday, June 1, 2008"
4947,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,24111,8031,September,2009,"Tuesday, September 1, 2009"
4948,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,25600,12485,February,2011,"Tuesday, February 1, 2011"
4949,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,13705,2144,September,2012,"Saturday, September 1, 2012"
4950,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,20229,1358,June,2023,"Thursday, June 1, 2023"
4951,Plateau,BUTH - Bingham University Teaching Hospital,Measles,42250,19200,June,2004,"Tuesday, June 1, 2004"
4952,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,19346,1638,June,2001,"Friday, June 1, 2001"
4953,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,25211,11573,August,2002,"Thursday, August 1, 2002"
4954,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,8084,867,June,2007,"Friday, June 1, 2007"
4955,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,64378,28661,February,2018,"Thursday, February 1, 2018"
4956,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,47249,4582,June,2002,"Saturday, June 1, 2002"
4957,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,49034,20700,February,2010,"Monday, February 1, 2010"
4958,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,22194,4959,March,2022,"Tuesday, March 1, 2022"
4959,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,10337,2609,March,2012,"Thursday, March 1, 2012"
4960,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,43514,9730,April,2023,"Saturday, April 1, 2023"
4961,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,72042,11004,June,2006,"Thursday, June 1, 2006"
4962,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,34264,4406,September,2009,"Tuesday, September 1, 2009"
4963,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,60377,3213,February,2011,"Tuesday, February 1, 2011"
4964,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,60498,7757,September,2012,"Saturday, September 1, 2012"
4965,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,28026,11883,August,2016,"Monday, August 1, 2016"
4966,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,66490,18103,November,2007,"Thursday, November 1, 2007"
4967,Plateau,JUTH - Jos University Teaching Hospital,Cholera,69883,19584,April,2002,"Monday, April 1, 2002"
4968,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,12163,2067,December,2006,"Friday, December 1, 2006"
4969,Abia,FMC Umuahia - Federal Medical Centre,Malaria,51256,7860,April,2004,"Thursday, April 1, 2004"
4970,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,43582,11446,July,2013,"Monday, July 1, 2013"
4971,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,40965,12511,January,2010,"Friday, January 1, 2010"
4972,Oyo,"UCH - University College Hospital, Ibadan",Cholera,22144,3852,October,2023,"Sunday, October 1, 2023"
4973,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,56757,20804,May,2021,"Saturday, May 1, 2021"
4974,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,31544,3201,January,2000,"Saturday, January 1, 2000"
4975,Abia,FMC Umuahia - Federal Medical Centre,Measles,62046,30039,March,2006,"Wednesday, March 1, 2006"
4976,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,68442,31036,December,2015,"Tuesday, December 1, 2015"
4977,Imo,FMC Owerri - Federal Medical Centre,Malaria,60881,243,August,2023,"Tuesday, August 1, 2023"
4978,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,5751,1291,November,2019,"Friday, November 1, 2019"
4979,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,13839,1887,July,2000,"Saturday, July 1, 2000"
4980,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,42503,7211,September,2024,"Sunday, September 1, 2024"
4981,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,10962,921,May,2016,"Sunday, May 1, 2016"
4982,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,32123,10702,February,2009,"Sunday, February 1, 2009"
4983,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,9331,3229,July,2007,"Sunday, July 1, 2007"
4984,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,15897,4787,October,2002,"Tuesday, October 1, 2002"
4985,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,74060,28011,May,2015,"Friday, May 1, 2015"
4986,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,37749,3558,October,2023,"Sunday, October 1, 2023"
4987,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,57756,24773,May,2013,"Wednesday, May 1, 2013"
4988,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,67572,22944,October,2012,"Monday, October 1, 2012"
4989,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,40879,6788,May,2023,"Monday, May 1, 2023"
4990,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,70029,18713,September,2017,"Friday, September 1, 2017"
4991,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,42642,12102,September,2012,"Saturday, September 1, 2012"
4992,Plateau,JUTH - Jos University Teaching Hospital,Measles,44174,4586,February,2018,"Thursday, February 1, 2018"
4993,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,50629,9370,August,2008,"Friday, August 1, 2008"
4994,Kogi,FMC Lokoja - Federal Medical Centre,Measles,69911,18487,November,2010,"Monday, November 1, 2010"
4995,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,40390,2742,July,2021,"Thursday, July 1, 2021"
4996,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,14023,114,October,2008,"Wednesday, October 1, 2008"
4997,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,7099,3052,June,2022,"Wednesday, June 1, 2022"
4998,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,38432,2414,April,2018,"Sunday, April 1, 2018"
4999,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,2049,612,September,2024,"Sunday, September 1, 2024"
5000,Plateau,JUTH - Jos University Teaching Hospital,Malaria,75461,618,January,2011,"Saturday, January 1, 2011"
5001,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,37321,5824,February,2014,"Saturday, February 1, 2014"
5002,Plateau,JUTH - Jos University Teaching Hospital,Cholera,41111,9285,December,2003,"Monday, December 1, 2003"
5003,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,43639,5939,October,2013,"Tuesday, October 1, 2013"
5004,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,76136,24542,May,2011,"Sunday, May 1, 2011"
5005,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,48363,22446,July,2006,"Saturday, July 1, 2006"
5006,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,16781,7194,March,2004,"Monday, March 1, 2004"
5007,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,42971,11020,March,2002,"Friday, March 1, 2002"
5008,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,71714,18405,October,2003,"Wednesday, October 1, 2003"
5009,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,32331,2422,May,2005,"Sunday, May 1, 2005"
5010,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,11966,1401,June,2004,"Tuesday, June 1, 2004"
5011,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,25022,7843,November,2010,"Monday, November 1, 2010"
5012,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,56670,4828,February,2018,"Thursday, February 1, 2018"
5013,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,27994,3550,September,2007,"Saturday, September 1, 2007"
5014,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,15486,536,March,2007,"Thursday, March 1, 2007"
5015,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,5332,1238,October,2004,"Friday, October 1, 2004"
5016,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,75634,24612,December,2019,"Sunday, December 1, 2019"
5017,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,56405,16228,December,2017,"Friday, December 1, 2017"
5018,Ogun,FMC Abeokuta - Federal Medical Centre,Measles,55143,17850,March,2016,"Tuesday, March 1, 2016"
5019,Edo,UBTH - University of Benin Teaching Hospital,Measles,47015,17370,June,2005,"Wednesday, June 1, 2005"
5020,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,46282,13811,October,2024,"Tuesday, October 1, 2024"
5021,Imo,FMC Owerri - Federal Medical Centre,Typhoid,6115,169,December,2008,"Monday, December 1, 2008"
5022,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,57262,18076,August,2017,"Tuesday, August 1, 2017"
5023,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,35131,13417,March,2001,"Thursday, March 1, 2001"
5024,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,72364,14152,May,2011,"Sunday, May 1, 2011"
5025,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,13379,5841,February,2001,"Thursday, February 1, 2001"
5026,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,19990,9706,August,2006,"Tuesday, August 1, 2006"
5027,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,66108,16201,August,2019,"Thursday, August 1, 2019"
5028,Lagos,LUTH - Lagos University Teaching Hospital,Measles,68266,6979,March,2010,"Monday, March 1, 2010"
5029,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,13936,1207,May,2023,"Monday, May 1, 2023"
5030,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,76651,16723,October,2007,"Monday, October 1, 2007"
5031,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,42596,11843,January,2008,"Tuesday, January 1, 2008"
5032,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,12451,3439,June,2019,"Saturday, June 1, 2019"
5033,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,68426,21486,October,2022,"Saturday, October 1, 2022"
5034,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,68298,27459,September,2011,"Thursday, September 1, 2011"
